Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,SO Ratio
Dylan Covey,0.6193129855346551,TOT,NL,-0.41769581356128455,-0.007155702489648047,-0.12591129494704384,0.4916923125713955,-0.38326452846597775,-0.46084999665868087,0.15902688847960902,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.3866040187871539,-0.1412670571534701,-0.1294729820238476,-0.17839701988941556,0.06792813699878972,-0.634169601765456,-0.5056585354382762,-0.38592111850982924,0.3556464121981182,0.1985443798649791,0.6530252209511375,0.7616887513200974,-0.5263997551553848,-0.4033433309381586,0.2943691565016987,-0.38776174338752945
Dylan Covey,0.6193129855346551,LAD,NL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,0.06037747026536055,-1.2170579326525668,-0.614398052713784,-0.6480075251652099,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.9791476899618243,-0.9245576707414939,-0.9767260047413062,-0.9487829928995695,-0.5450685186596429,-1.0860230142936604,-0.9615701470372053,-0.04100700853763089,2.2119563587973516,0.16029087134975242,0.6530252209511375,3.1062167612424965,-0.5263997551553848,-0.4662721450926847,0.2943691565016987,-0.46519732182201395
Dylan Covey,0.6193129855346551,PHI,NL,-0.41769581356128455,-0.007155702489648047,-0.12591129494704384,0.5797157497767085,-0.4590639288465767,-0.46084999665868087,0.15902688847960902,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.5113500548239266,-0.30445260165097504,-0.2505091281263417,-0.30679468205777455,-0.34073630010683204,-0.7245402842710968,-0.5968408577580621,-0.4389848277363213,-0.03462899436452408,0.20549956323138394,0.6790596809142385,0.19900202893872146,-0.4931205841938664,-0.37187892386089566,0.2943691565016987,-0.3714595163486907
Austin Cox,-0.7866744983632543,KCR,AL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,-0.322524481577752,-0.5348633292271757,-0.30730194060357774,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.4146718768954277,-0.630823690645985,-0.5530994933825769,-0.499391175310313,-0.7494007372124537,-0.09194550673161056,-0.44487032055841896,0.17124782836833735,-0.46493264775410387,-0.42394453142825467,-0.8309389969456277,-0.7388091750302382,0.3055795188825748,-0.057234853088265335,-0.5204595169104633,-0.09717393170578431
Brandon Crawford,2.0253004694325645,SFG,NL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,-1.920149866854187,-1.2170579326525668,-0.614398052713784,-0.48660064243624607,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-1.0727072169894039,-1.0551061063394978,-1.0977621508438002,-1.0771806550679284,-0.9537329557652646,-1.0860230142936604,-1.0527524693569912,-1.4604612303462934,0.8359853741213702,1.0296887921503581,0.05423264179981108,-1.1139336566178222,1.703304699266347,-2.605851826346571,-1.543590257209945,-2.2462156258151555
Kutter Crawford,-0.5054770015836725,BOS,AL,0.8171829588959875,1.3273828118297117,0.19226169444490943,-0.14207643530685984,0.14733127419821526,1.0746305638923506,0.15902688847960902,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,1.113467064555038,0.9683946454295635,0.899334259847352,0.9771819396258152,1.4982536668684658,0.35990790579659393,1.0444409439980828,0.07838633722197624,-0.13970314228523542,-0.4987127526171066,-0.23214641779430134,0.2927831493356175,-0.5929580970784215,0.13155158937531278,0.9437814826798125,0.05833689130677178
Nabil Crismatt,-0.2242795048040906,SDP,NL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,2.4018008999266924,-0.7622615303689727,-0.614398052713784,-0.16378687697831854,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.7608421268974721,-0.532912363947482,-0.37154527422883576,-0.30679468205777455,-0.34073630010683204,-0.543798919259815,-0.7792055023976336,-0.8900263561615038,1.3813702371383958,1.3461496353217783,1.329921179991767,1.2305943533045773,0.6050920575362404,-0.2774857026291064,-0.753267709313938,-0.3032865669135464
Cooper Criswell,-0.7866744983632543,TBR,AL,-0.41769581356128455,-0.45200187392943464,0.3527814008048138,0.29804075071970626,-0.7622615303689727,-0.614398052713784,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.32423100076876754,-0.1412670571534701,-0.2505091281263417,-0.17839701988941556,-0.34073630010683204,-0.45342823675417415,-0.3232938907987045,-0.3726551912032062,-0.12469254972513368,0.12551495451772815,0.4187150812832271,-0.08234133225196631,-0.3267247293862745,0.10008718229804985,0.2943691565016987,0.03348780329606564
Garrett Crochet,-1.349069491922418,CHW,AL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,-0.3357279971585489,-0.5348633292271757,-0.614398052713784,0.15902688847960902,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.7920286359066653,-0.7613721262439889,-0.7951717855875651,-0.8203853307312104,-0.7494007372124537,-0.18231618923725146,-0.7792055023976336,0.19777968298158338,0.8860206826550421,1.2035683763104794,0.05423264179981108,-0.26990357304575835,2.0028172379200124,-0.057234853088265335,-1.0412146841287624,-0.10899366102338555
Wil Crowe,-0.2242795048040906,PIT,NL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,0.1307962200296112,-0.9138603311301707,-0.614398052713784,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.014277245146550389,-0.8169778431140199,-0.7940092351434899,-0.7346537125363181,-0.756186499647031,-0.7494007372124537,-0.36305755424853325,-0.7792055023976336,-0.147134426990615,0.6308406091333145,0.7897349660093911,-0.10197411797879566,-0.26990357304575835,1.5036296734972368,0.037158368143523995,-0.9309371193060636,0.07685172721937729
Fernando Cruz,1.1817079790938188,CIN,NL,-0.41769581356128455,-0.45200187392943464,0.3527814008048138,0.23202317281572118,1.1327234791460021,-0.614398052713784,1.1274681848533916,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,0.08743091815258253,-0.04335573045496713,0.29415352933488165,0.27099479769984086,-0.13640408155402114,0.5406492708078757,0.5581352249592252,-0.17366628160386102,-0.590020919088284,-0.1544311759800669,-0.36231871760980705,-0.26990357304575835,0.17246283503650142,1.2642702441567826,0.16571199754188368,1.0485128248527849
Jose Cuas,0.05691799197549128,KCR,AL,0.40555670141023015,-0.8968480453692212,1.7859930647325313,-0.16408229460818807,1.8149180825713933,-0.46084999665868087,0.15902688847960902,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,0.08431226725166316,0.21774114074104078,-0.06895490897260058,0.014199473363122913,0.06792813699878972,0.5406492708078757,0.4061646877595821,0.012056700688861171,-0.16972432740543847,0.22810390917219953,0.1583704816522157,0.011439788144929542,0.20574200599801967,0.9496261733841521,0.006422181686874424,0.745521157795371
Johnny Cueto,2.306497966212146,MIA,NL,-0.8293220710470419,-0.45200187392943464,-1.080430263122904,0.06037747026536055,-1.0654591318913686,-0.30730194060357774,-0.6480075251652099,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.7920286359066653,-0.8919205618419929,-0.7951717855875651,-0.756186499647031,-0.5450685186596429,-0.9052816492823786,-0.7792055023976336,-0.13386849968399198,0.3356322887846494,-0.8829866336109743,-0.8830079168718298,0.5741265105263055,-0.39328307130931117,-0.057234853088265335,0.2943691565016987,-0.10899366102338555
Xzavion Curry,-1.349069491922418,CLE,AL,0.40555670141023015,-0.8968480453692212,1.7859930647325313,-0.6614147148182079,0.5263282761012102,-0.46084999665868087,1.611688833040283,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,0.45855037536198134,0.4135637941380467,-0.008436835921353534,-0.04999935772105658,0.06792813699878972,-0.18231618923725146,-0.019352816399418427,0.47636415642066665,-0.3398443764199237,-0.4795859983594935,-0.1540430379049982,-0.26990357304575835,-0.62623726803994,-0.6865229946335261,0.34950793891304793,-0.6346488304521001
John Curtiss,0.33811548875507313,NYM,NL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,-0.12447174786579718,-0.30746512808537874,-0.614398052713784,-0.002379994249354749,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-0.5674857710404744,-0.630823690645985,-0.6136175664338239,-0.5635900063944925,-0.34073630010683204,-0.634169601765456,-0.7184172875177764,-0.09407071776412294,0.32562522707791475,-0.4795859983594935,-0.44042209749911065,0.2927831493356175,-0.26016638746323767,-0.8438450300198412,-0.4224350148458422,-0.7275178472163526
Tyler Cyr,0.33811548875507313,LAD,NL,-0.8293220710470419,-0.8968480453692212,-1.080430263122904,-1.920149866854187,-1.1412585322719677,-0.614398052713784,-0.3251937597072823,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,-1.0664699151875652,-1.0551061063394978,-1.0977621508438002,-1.0771806550679284,-0.9537329557652646,-1.1763936967993014,-0.991964254477134,-1.4604612303462934,-1.865921286696922,-1.4046253860913378,-0.8830079168718298,-1.1139336566178222,-1.2918206872703075,0.7923041379978369,-1.543590257209945,1.7116028275029371
Yu Darvish,2.0253004694325645,SDP,NL,2.0520617313532594,1.7722289832694984,0.4617054872633204,-0.0012389357783585615,-0.0042675265629827375,1.9959189002229691,-0.6480075251652099,-0.1580546236336066,-0.1382956364463799,-0.28054786712971497,1.9211976478931414,1.8169594768165893,1.8071053556160577,1.9401644058885077,1.293921448315655,1.805838825886848,2.1386288118355132,-0.21346406352373007,-0.4249044009271662,-0.2604977223177407,-0.1280085779418967,-0.17612245264886237,-0.26016638746323767,0.4461956601479431,0.4046467213243974,0.3243262562368013
Tucker Davidson,-0.5054770015836725,LAA,AL,-0.41769581356128455,-0.45200187392943464,0.3527814008048138,0.9582165297595554,0.07153187381761626,-0.614398052713784,0.6432475366665004,-0.1580546236336066,-0.1382956364463799,0.2519933768366142,-0.13087464491176987,0.3482895763390447,0.4151896754373757,0.3993924598681999,-0.5450685186596429,-0.18231618923725146,-0.11053513871920426,-0.5451122461893054,-0.6200421042084874,0.5723854858092396,0.9654387405083509,-0.5512469342364463,-0.26016638746323767,0.16301599645257625,0.184091591679,0.11325306750909195
