Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Madison Bumgarner,33,ARI,NL,0,3,0.0,10.26,4,4,0,0,0,0,16.2,25,20,19,4,15,10,42,8.09,2.4,13.5,2.2,8.1,5.4,0.67
Aaron Bummer,29,CHW,AL,3,2,0.6,6.82,39,0,6,0,0,0,34.1,33,27,26,0,17,43,64,2.36,1.456,8.7,0.0,4.5,11.3,2.53
Nick Burdi,30,CHC,NL,0,0,0.0,9.0,3,0,2,0,0,0,3.0,3,3,3,0,3,4,55,3.62,2.0,9.0,0.0,9.0,12.0,1.33
Zack Burdi,28,TBR,AL,0,0,0.0,11.25,3,0,1,0,0,0,4.0,6,6,5,0,2,5,40,2.29,2.0,13.5,0.0,4.5,11.3,2.5
Brock Burke,26,TEX,AL,4,2,0.667,2.77,32,0,4,0,0,0,39.0,37,14,12,5,6,30,158,4.03,1.103,8.5,1.2,1.4,6.9,5.0
Alec Burleson,24,STL,NL,0,0,0.0,21.6,2,0,2,0,0,0,1.2,8,4,4,1,0,1,24,9.89,4.8,43.2,5.4,0.0,5.4,0.0
Corbin Burnes,28,MIL,NL,9,5,0.643,3.49,20,20,0,0,0,0,121.1,87,51,47,14,42,125,125,3.92,1.063,6.5,1.0,3.1,9.3,2.98
Alan Busenitz,32,CIN,NL,0,0,0.0,4.5,4,0,3,0,0,0,4.0,7,2,2,0,1,3,113,2.54,2.0,15.8,0.0,2.3,6.8,3.0
Matt Bush,37,MIL,NL,0,2,0.0,9.58,12,0,4,0,0,1,10.1,11,11,11,5,6,10,47,9.39,1.645,9.6,4.4,5.2,8.7,1.67
Jos Butto,25,NYM,NL,0,1,0.0,3.0,3,2,0,0,0,0,12.0,10,4,4,1,11,5,141,6.29,1.75,7.5,0.8,8.3,3.8,0.45
Edward Cabrera,25,MIA,NL,5,5,0.5,4.5,15,15,0,0,0,0,72.0,55,36,36,10,44,90,97,4.55,1.375,6.9,1.3,5.5,11.3,2.05
Gnesis Cabrera,26,STL,NL,1,1,0.5,5.06,32,0,10,0,0,0,32.0,32,18,18,6,18,38,86,5.04,1.563,9.0,1.7,5.1,10.7,2.11
Blair Calvo,27,COL,NL,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,3.29,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Campbell,25,SEA,AL,1,0,1.0,0.0,4,0,1,0,0,0,4.0,1,0,0,0,2,6,0,2.54,0.75,2.3,0.0,4.5,13.5,3.0
Griffin Canning,27,LAA,AL,6,4,0.6,4.52,15,15,0,0,0,0,79.2,73,41,40,15,25,83,99,4.75,1.23,8.2,1.7,2.8,9.4,3.32
Yennier Cano,29,BAL,AL,1,1,0.5,1.51,42,0,7,0,0,4,47.2,38,8,8,2,6,41,279,2.62,0.923,7.2,0.4,1.1,7.7,6.83
Matt Carasiti,31,COL,NL,1,0,1.0,7.06,14,0,2,0,0,1,21.2,26,19,17,3,11,14,72,5.46,1.708,10.8,1.2,4.6,5.8,1.27
Drew Carlton,27,SDP,NL,2,1,0.667,4.35,11,0,1,0,0,0,20.2,18,12,10,2,6,18,95,3.82,1.161,7.8,0.9,2.6,7.8,3.0
Carlos Carrasco,36,NYM,NL,3,3,0.5,5.35,13,13,0,0,0,0,65.2,66,40,39,13,29,48,77,5.95,1.447,9.0,1.8,4.0,6.6,1.66
Daniel Castano,28,MIA,NL,0,0,0.0,27.0,1,0,1,0,0,0,1.0,2,3,3,2,1,2,22,28.29,3.0,18.0,18.0,9.0,18.0,2.0
Diego Castillo,29,SEA,AL,0,0,0.0,6.23,8,0,1,0,0,0,8.2,7,6,6,2,7,7,69,7.44,1.615,7.3,2.1,7.3,7.3,1.0
Jos Castillo,27,SDP,NL,0,0,0.0,108.0,1,0,0,0,0,0,0.1,2,4,4,0,2,0,8,30.29,12.0,54.0,0.0,54.0,0.0,0.0
Luis Castillo,30,SEA,AL,6,7,0.462,3.04,20,20,0,0,0,0,118.1,94,48,40,19,30,133,135,3.97,1.048,7.1,1.4,2.3,10.1,4.43
Max Castillo,24,KCR,AL,0,1,0.0,4.24,5,0,2,0,0,0,17.0,17,8,8,2,6,10,106,4.88,1.353,9.0,1.1,3.2,5.3,1.67
Harold Castro,29,COL,NL,0,0,0.0,9.0,2,0,2,0,0,0,2.0,4,2,2,0,1,0,64,6.29,2.5,18.0,0.0,4.5,0.0,0.0
Miguel Castro,28,ARI,NL,5,4,0.556,3.83,44,0,16,0,0,7,40.0,27,17,17,5,15,32,112,4.51,1.05,6.1,1.1,3.4,7.2,2.13
Willi Castro,26,MIN,AL,0,0,0.0,0.0,2,0,2,0,0,0,1.1,1,0,0,0,0,0,0,3.29,0.75,6.8,0.0,0.0,0.0,0.0
Dylan Cease,27,CHW,AL,4,3,0.571,4.04,21,21,0,0,0,0,113.2,102,56,51,12,47,138,108,3.63,1.311,8.1,1.0,3.7,10.9,2.94
Luis Cessa,31,CIN,NL,1,4,0.2,9.0,7,6,0,0,0,0,26.0,46,26,26,3,12,11,53,5.44,2.231,15.9,1.0,4.2,3.8,0.92
Andrew Chafin,33,ARI,NL,2,2,0.5,2.97,41,0,14,0,0,8,33.1,27,12,11,3,15,46,144,3.05,1.26,7.3,0.8,4.1,12.4,3.07
Aroldis Chapman,35,TOT,AL,5,2,0.714,2.04,37,0,11,0,0,3,35.1,18,10,8,0,20,63,219,1.42,1.075,4.6,0.0,5.1,16.0,3.15
Aroldis Chapman,35,KCR,AL,4,2,0.667,2.45,31,0,9,0,0,2,29.1,16,10,8,0,20,53,181,1.72,1.227,4.9,0.0,6.1,16.3,2.65
Aroldis Chapman,35,TEX,AL,1,0,1.0,0.0,6,0,2,0,0,1,6.0,2,0,0,0,0,10,0,-0.04,0.333,3.0,0.0,0.0,15.0,0.0
JT Chargois,32,MIA,NL,1,0,1.0,3.51,28,0,5,0,0,1,25.2,19,10,10,2,10,20,125,3.91,1.13,6.7,0.7,3.5,7.0,2.0
Jesse Chavez,39,ATL,NL,0,0,0.0,1.55,31,1,6,0,0,1,29.0,21,6,5,1,9,36,294,2.5,1.034,6.5,0.3,2.8,11.2,4.0
Yonny Chirinos,29,TBR,AL,4,4,0.5,4.02,15,4,1,0,0,0,62.2,58,30,28,10,20,31,102,5.52,1.245,8.3,1.4,2.9,4.5,1.55
Adam Cimber,32,TOR,AL,0,2,0.0,7.4,22,0,6,0,0,1,20.2,25,18,17,6,7,12,57,7.5,1.548,10.9,2.6,3.0,5.2,1.71
Jos Cisnero,34,DET,AL,2,2,0.5,3.89,41,0,11,0,0,1,37.0,35,20,16,5,14,41,112,4.21,1.324,8.5,1.2,3.4,10.0,2.93
Aaron Civale,28,CLE,AL,3,2,0.6,2.71,11,11,0,0,0,0,63.0,50,19,19,5,18,49,153,3.72,1.079,7.1,0.7,2.6,7.0,2.72
Taylor Clarke,30,KCR,AL,1,4,0.2,6.15,39,1,4,0,0,0,41.0,49,29,28,8,18,46,72,5.05,1.634,10.8,1.8,4.0,10.1,2.56
Emmanuel Clase,25,CLE,AL,1,5,0.167,3.15,47,0,39,0,0,27,45.2,38,22,16,2,12,42,132,2.81,1.095,7.5,0.4,2.4,8.3,3.5
Alex Claudio,31,MIL,NL,0,0,0.0,0.0,1,0,0,0,0,0,0.1,2,0,0,0,0,0,0,3.29,6.0,54.0,0.0,0.0,0.0,0.0
Garrett Cleavinger,29,TBR,AL,1,0,1.0,3.0,15,0,3,0,0,0,12.0,6,5,4,2,6,14,141,4.87,1.0,4.5,1.5,4.5,10.5,2.33
Kody Clemens,27,PHI,NL,0,0,0.0,3.38,4,0,4,0,0,0,2.2,4,1,1,0,3,1,144,5.91,2.625,13.5,0.0,10.1,3.4,0.33
Ernie Clement,27,TOR,AL,0,0,0.0,9.0,1,0,1,0,0,0,1.0,3,1,1,0,0,0,63,6.29,3.0,27.0,0.0,0.0,0.0,0.0
Mike Clevinger,32,CHW,AL,3,4,0.429,3.88,12,12,0,0,0,0,62.2,59,27,27,9,26,53,113,4.9,1.356,8.5,1.3,3.7,7.6,2.04
Alex Cobb,35,SFG,NL,6,3,0.667,3.15,18,18,0,1,1,0,100.0,112,37,35,8,27,91,136,3.41,1.39,10.1,0.7,2.4,8.2,3.37
Gerrit Cole,32,NYY,AL,9,2,0.818,2.78,21,21,0,1,1,0,129.1,104,42,40,13,36,144,152,3.34,1.082,7.2,0.9,2.5,10.0,4.0
Dylan Coleman,26,KCR,AL,0,0,0.0,11.7,11,0,6,0,0,0,10.0,12,13,13,2,11,11,39,6.99,2.3,10.8,1.8,9.9,9.9,1.0
Alex Colom,34,CHW,AL,0,1,0.0,6.0,4,0,2,0,0,0,3.0,2,4,2,1,3,2,81,9.29,1.667,6.0,3.0,9.0,6.0,0.67
Roansy Contreras,23,PIT,NL,3,7,0.3,6.59,19,11,1,0,0,1,68.1,75,50,50,11,32,55,68,5.22,1.566,9.9,1.4,4.2,7.2,1.72
Patrick Corbin,33,WSN,NL,6,10,0.375,4.89,20,20,0,0,0,0,114.0,141,69,62,18,34,80,85,4.89,1.535,11.1,1.4,2.7,6.3,2.35
Jimmy Cordero,31,NYY,AL,3,2,0.6,3.86,31,1,6,0,0,0,32.2,25,14,14,2,10,34,111,3.11,1.071,6.9,0.6,2.8,9.4,3.4
Nestor Cortes,28,NYY,AL,5,2,0.714,5.16,11,11,0,0,0,0,59.1,58,35,34,10,19,59,82,4.6,1.298,8.8,1.5,2.9,8.9,3.11
